,coord,country,id,name
6369,"{'lon': 77.699997, 'lat': 24.1}",IN,1256064,Sironj
6370,"{'lon': 72.866669, 'lat': 24.883329}",IN,1256067,Sirohi
6371,"{'lon': 79.73333, 'lat': 11.23333}",IN,1256075,Sirkazhi
6372,"{'lon': 76.3825, 'lat': 30.645559}",IN,1256087,Sirhind
6373,"{'lon': 74, 'lat': 19.85}",IN,1256119,Sinnar
6374,"{'lon': 88.229439, 'lat': 22.80917}",IN,1256124,Singur
6375,"{'lon': 76.76667, 'lat': 15.78333}",IN,1256207,Sindhnur
6376,"{'lon': 76.23333, 'lat': 16.91667}",IN,1256214,Sindgi
6377,"{'lon': 84.51667, 'lat': 22.616671}",IN,1256246,Simdega
6378,"{'lon': 75.650002, 'lat': 20.299999}",IN,1256269,Sillod
6379,"{'lon': 92.800003, 'lat': 24.816669}",IN,1256287,Silchar
6380,"{'lon': 85.416672, 'lat': 25.08333}",IN,1256295,Silao
6381,"{'lon': 75.150002, 'lat': 27.616671}",IN,1256320,Sikar
6382,"{'lon': 78.400002, 'lat': 27.700001}",IN,1256322,Sikandra Rao
6383,"{'lon': 84.050003, 'lat': 26.049999}",IN,1256328,Sikandarpur
6384,"{'lon': 77.699997, 'lat': 28.450001}",IN,1256329,Sikandarabad
6385,"{'lon': 86.316673, 'lat': 23.783331}",IN,1256335,Sijua
6386,"{'lon': 80.116669, 'lat': 23.48333}",IN,1256340,Sihora
6387,"{'lon': 71.966667, 'lat': 21.700001}",IN,1256343,Sihor
6388,"{'lon': 77.862778, 'lat': 13.38806}",IN,1256363,Sidlaghatta
6389,"{'lon': 78.849998, 'lat': 18.1}",IN,1256377,Siddipet
6390,"{'lon': 88.342216, 'lat': 22.752781}",IN,1256422,Shrirampur
6391,"{'lon': 74.683327, 'lat': 18.616671}",IN,1256426,Shrigonda
6392,"{'lon': 76.75, 'lat': 16.51667}",IN,1256431,Shorapur
6393,"{'lon': 76.283333, 'lat': 10.76667}",IN,1256432,Shoranur
6394,"{'lon': 79.416672, 'lat': 13.11667}",IN,1256435,Sholinghur
